item_id,english_name,kannada_name,hindi_name
123,Veg Korma,ತರಕಾರಿ ಕೋರಮಾ,वेज कोरमा
124,Veg Kofta,ತರಕಾರಿ ಕೊಫ್ತಾ,वेज कोफ्ता
125,Veg Biryani,ತರಕಾರಿ ಬಿರಿಯಾನಿ,वेज बिरयानी
126,Hyderabadi Veg Biryani,ಹೈದರಾಬಾದಿ ತರಕಾರಿ ಬಿರಿಯಾನಿ,हैदराबादी वेज बिरयानी
127,Jeera Rice,ಜೀರೆ ಅನ್ನ,जीरा चावल
128,Lemon Rice,ಲಿಂಬೆ ಅನ್ನ,नींबू चावल
129,Tamarind Rice,ಪಲ್ಲು ಅನ್ನ,इमली चावल
130,Curd Rice,ಮೊಸರು ಅನ್ನ,दही चावल
131,Coconut Rice,ತೆಂಗಿನ ಅಕ್ಕಿ,नारियल चावल
132,Biryani Rice,ಬಿರಿಯಾನಿ ಅನ್ನ,बिरयानी चावल
133,Chicken Biryani,ಚಿಕನ್ ಬಿರಿಯಾನಿ,चिकन बिरयानी
134,Hyderabadi Chicken Biryani,ಹೈದರಾಬಾದಿ ಚಿಕನ್ ಬಿರಿಯಾನಿ,हैदराबादी चिकन बिरयानी
135,Andhra Chicken Biryani,ಆಂಧ್ರ ಚಿಕನ್ ಬಿರಿಯಾನಿ,आंध्र चिकन बिरयानी
136,Goan Chicken Biryani,ಗೋನ್ ಚಿಕನ್ ಬಿರಿಯಾನಿ,गोवा चिकन बिरयानी
137,Mutton Biryani,ಮಟನ್ ಬಿರಿಯಾನಿ,मटन बिरयानी
138,Hyderabadi Mutton Biryani,ಹೈದರಾಬಾದಿ ಮಟನ್ ಬಿರಿಯಾನಿ,हैदराबादी मटन बिरयानी
139,Chicken Curry,ಚಿಕನ್ ಕರೀ,चिकन करी
140,Chicken Do Pyaza,ಚಿಕನ್ ಡೋ ಪ್ಯಾಜಾ,चिकन दो प्याज़ा
141,Chicken Korma,ಚಿಕನ್ ಕೋರಮಾ,चिकन कोरमा
142,Chicken Saag,ಚಿಕನ್ ಪಾಲಕ್,चिकन साग
143,Chicken Handi,ಚಿಕನ್ ಹಂಡಿ,चिकन हांडी
144,Chicken Masala,ಚಿಕನ್ ಮಸಾಲಾ,चिकन मसाला
145,Butter Chicken,ಬಟರ್ ಚಿಕನ್,बटर चिकन
146,Chicken Tikka Masala,ಚಿಕನ್ ಟಿಕ್ಕಾ ಮಸಾಲಾ,चिकन टिक्का मसाला
147,Chicken Kolhapuri,ಚಿಕನ್ ಕೊಲ್ಹಾಪುರಿ,चिकन कोल्हापुरी
148,Chicken Chettinad,ಚಿಕನ್ ಚೆಟ್ಟಿನಾಡ್,चिकन चेट्टिनाड
149,Chicken Vindaloo,ಚಿಕನ್ ವಿನ್ದಾಲೂ,चिकन विंदालू
150,Chicken Angara,ಚಿಕನ್ ಅಂಗಾರ,चिकन अंगारा
151,Mutton Curry,ಮಟನ್ ಕರೀ,मटन करी
152,Mutton Korma,ಮಟನ್ ಕೋರಮಾ,मटन कोरमा
153,Mutton Do Pyaza,ಮಟನ್ ಡೋ ಪ್ಯಾಜಾ,मटन दो प्याज़ा
154,Mutton Rogan Josh,ಮಟನ್ ರೋಗನ್ ಜೋಶ್,मटन रोगन जोश
155,Goan Fish Curry,ಗೋನ್ ಮೀನು ಕರೀ,गोवा फिश करी
156,Meen Moilee,ಮೀನು ಮೊಇಲೆ,मीन मोइली
157,Fish Fry,ಮೀನು ಫ್ರೈ,फिश फ्राई
158,Fish Tikka,ಮೀನು ಟಿಕ್ಕಾ,फिश टिक्का
159,Fish Masala,ಮೀನು ಮಸಾಲಾ,फिश मसाला
160,Prawn Curry,ಚಿಂಗರಿ ಕರೀ,प्रॉन करी
161,Prawn Masala,ಚಿಂಗರಿ ಮಸಾಲಾ,प्रॉन मसाला
162,Prawn Fry,ಚಿಂಗರಿ ಫ್ರೈ,प्रॉन फ्राई
163,Paneer Pakora,ಪನೀರ್ ಪಕೋಡಾ,पनीर पकोड़ा
164,Veg Pakora,ತರಕಾರಿ ಪಕೋಡಾ,वेज पकोड़ा
165,Samosa,ಸಮೋಸಾ,समोसा
166,Aloo Tikki,ಅಲೂ ಟಿಕ್ಕಿ,आलू टिक्की
167,Onion Pakora,ಈರುಳ್ಳಿ ಪಕೋಡಾ,प्याज पकोड़ा
168,Paneer Tikka,ಪನೀರ್ ಟಿಕ್ಕಾ,पनीर टिक्का
169,Paneer Tikka Masala,ಪನೀರ್ ಟಿಕ್ಕಾ ಮಸಾಲಾ,पनीर टिक्का मसाला
170,Paneer Lababdar,ಪನೀರ್ ಲಬ್ಬಾಬ್ದಾರ್,पनीर लबाबदार
171,Shahi Paneer,ಶಾಹಿ ಪನೀರ್,शाही पनीर
172,Kadai Paneer,ಕಡಾಯಿ ಪನೀರ್,कड़ाई पनीर
173,Paneer Do Pyaza,ಪನೀರ್ ಡೋ ಪ್ಯಾಜಾ,पनीर दो प्याज़ा
174,Malai Kofta,ಮಲಾಯಿ ಕೊಫ್ತಾ,मलाई कोफ्ता
175,Mushroom Masala,ಮಶ್ರೂಮ್ ಮಸಾಲಾ,मशरूम मसाला
176,Veg Kofta,ತರಕಾರಿ ಕೊಫ್ತಾ,वेज कोफ्ता
177,Veg Korma,ತರಕಾರಿ ಕೋರಮಾ,वेज कोरमा
178,Mixed Veg Curry,ಮಿಶ್ರ ತರಕಾರಿ ಕರೀ,मिक्स वेज करी
179,Dal Tadka,ದಾಲ್ ತಡ್ಕಾ,दाल तड़का
180,Dal Fry,ದಾಲ್ ಫ್ರೈ,दाल फ्राई
181,Dal Bukhara,ದಾಲ್ ಬುಖಾರಾ,दाल बुखारा
182,Chole,ಚೋಲೆ,छोले
183,Chana Masala,ಚಣಾ ಮಸಾಲಾ,चना मसाला
184,Rajma,ರಾಜ್ಮಾ,राजमा
185,Aloo Gobhi,ಅಲೂ ಗಾಬಿ,आलू गोभी
186,Bhindi Masala,ಭಿಂಡಿ ಮಸಾಲಾ,भिंडी मसाला
187,Cauliflower Masala,ಹೂಕು ಮಸಾಲಾ,फूलगोभी मसाला
188,Methi Malai Paneer,ಮೆಥಿ ಮಲಾಯಿ ಪನೀರ್,मेथी मलाई पनीर
189,Palak Mushroom,ಪಾಲಕ್ ಮಶ್ರೂಮ್,पालक मशरूम
190,Paneer Pudina Masala,ಪನೀರ್ ಪುಡಿನಾ ಮಸಾಲಾ,पनीर पुदीना मसाला
191,Paneer Kali Mirch,ಪನೀರ್ ಕಾಳಿ ಮಿರ್ಚ್,पनीर काली मिर्च
192,Paneer Achari,ಪನೀರ್ ಅಚಾರಿ,पनीर अचारी
193,Paneer Handi,ಪನೀರ್ ಹಂಡಿ,पनीर हांडी
194,Paneer Makhani,ಪನೀರ್ ಮಖನಿ,पनीर मखनी
195,Paneer Khurchan,ಪನೀರ್ ಖುರ್ಚನ್,पनीर खुर्चन
196,Butter Paneer,ಬಟರ್ ಪನೀರ್,बटर पनीर
197,Shahi Paneer,ಶಾಹಿ ಪನೀರ್,शाही पनीर
198,Kadai Paneer,ಕಡಾಯಿ ಪನೀರ್,कड़ाई पनीर
199,Paneer Do Pyaza,ಪನೀರ್ ಡೋ ಪ್ಯಾಜಾ,पनीर दो प्याज़ा
200,Malai Kofta,ಮಲಾಯಿ ಕೊಫ್ತಾ,मलाई कोफ्ता
201,Mushroom Masala,ಮಶ್ರೂಮ್ ಮಸಾಲಾ,मशरूम मसाला
202,Veg Kofta,ತರಕಾರಿ ಕೊಫ್ತಾ,वेज कोफ्ता
203,Veg Korma,ತರಕಾರಿ ಕೋರಮಾ,वेज कोरमा
204,Mixed Veg Curry,ಮಿಶ್ರ ತರಕಾರಿ ಕರೀ,मिक्स वेज करी
205,Dal Tadka,ದಾಲ್ ತಡ್ಕಾ,दाल तड़का
206,Dal Fry,ದಾಲ್ ಫ್ರೈ,दाल फ्राई
207,Dal Bukhara,ದಾಲ್ ಬುಖಾರಾ,दाल बुखारा
208,Chole,ಚೋಲೆ,छोले
209,Chana Masala,ಚಣಾ ಮಸಾಲಾ,चना मसाला
210,Rajma,ರಾಜ್ಮಾ,राजमा
211,Aloo Gobhi,ಅಲೂ ಗಾಬಿ,आलू गोभी
212,Bhindi Masala,ಭಿಂಡಿ ಮಸಾಲಾ,भिंडी मसाला
213,Cauliflower Masala,ಹೂಕು ಮಸಾಲಾ,फूलगोभी मसाला
214,Methi Malai Paneer,ಮೆಥಿ ಮಲಾಯಿ ಪನೀರ್,मेथी मलाई पनीर
215,Palak Mushroom,ಪಾಲಕ್ ಮಶ್ರೂಮ್,पालक मशरूम
216,Paneer Pudina Masala,ಪನೀರ್ ಪುಡಿನಾ ಮಸಾಲಾ,पनीर पुदीना मसाला
217,Paneer Kali Mirch,ಪನೀರ್ ಕಾಳಿ ಮಿರ್ಚ್,पनीर काली मिर्च
218,Paneer Achari,ಪನೀರ್ ಅಚಾರಿ,पनीर अचारी
219,Paneer Handi,ಪನೀರ್ ಹಂಡಿ,पनीर हांडी
220,Paneer Makhani,ಪನೀರ್ ಮಖನಿ,पनीर मखनी
221,Paneer Khurchan,ಪನೀರ್ ಖುರ್ಚನ್,पनीर खुर्चन
222,Butter Paneer,ಬಟರ್ ಪನೀರ್,बटर पनीर
223,Shahi Paneer,ಶಾಹಿ ಪನೀರ್,शाही पनीर
224,Kadai Paneer,ಕಡಾಯಿ ಪನೀರ್,कड़ाई पनीर
225,Paneer Do Pyaza,ಪನೀರ್ ಡೋ ಪ್ಯಾಜಾ,पनीर दो प्याज़ा
226,Malai Kofta,ಮಲಾಯಿ ಕೊಫ್ತಾ,मलाई कोफ्ता
227,Mushroom Masala,ಮಶ್ರೂಮ್ ಮಸಾಲಾ,मशरूम मसाला
228,Veg Biryani,ತರಕಾರಿ ಬಿರಿಯಾನಿ,वेज बिरयानी
229,Hyderabadi Veg Biryani,ಹೈದರಾಬಾದಿ ತರಕಾರಿ ಬಿರಿಯಾನಿ,हैदराबादी वेज बिरयानी
230,Jeera Rice,ಜೀರೆ ಅನ್ನ,जीरा चावल
231,Lemon Rice,ಲಿಂಬೆ ಅನ್ನ,नींबू चावल
232,Tamarind Rice,ಪಲ್ಲು ಅನ್ನ,इमली चावल
233,Curd Rice,ಮೊಸರು ಅನ್ನ,दही चावल
234,Coconut Rice,ತೆಂಗಿನ ಅಕ್ಕಿ,नारियल चावल
235,Biryani Rice,ಬಿರಿಯಾನಿ ಅನ್ನ,बिरयानी चावल
236,Chicken Biryani,ಚಿಕನ್ ಬಿರಿಯಾನಿ,चिकन बिरयानी
237,Hyderabadi Chicken Biryani,ಹೈದರಾಬಾದಿ ಚಿಕನ್ ಬಿರಿಯಾನಿ,हैदराबादी चिकन बिरयानी
238,Andhra Chicken Biryani,ಆಂಧ್ರ ಚಿಕನ್ ಬಿರಿಯಾನಿ,आंध्र चिकन बिरयानी
239,Goan Chicken Biryani,ಗೋನ್ ಚಿಕನ್ ಬಿರಿಯಾನಿ,गोवा चिकन बिरयानी
240,Mutton Biryani,ಮಟನ್ ಬಿರಿಯಾನಿ,मटन बिरयानी
241,Hyderabadi Mutton Biryani,ಹೈದರಾಬಾದಿ ಮಟನ್ ಬಿರಿಯಾನಿ,हैदराबादी मटन बिरयानी
242,Chicken Curry,ಚಿಕನ್ ಕರೀ,चिकन करी
243,Chicken Do Pyaza,ಚಿಕನ್ ಡೋ ಪ್ಯಾಜಾ,चिकन दो प्याज़ा
244,Chicken Korma,ಚಿಕನ್ ಕೋರಮಾ,चिकन कोरमा
245,Chicken Saag,ಚಿಕನ್ ಪಾಲಕ್,चिकन साग
246,Chicken Handi,ಚಿಕನ್ ಹಂಡಿ,चिकन हांडी
247,Chicken Masala,ಚಿಕನ್ ಮಸಾಲಾ,चिकन मसाला
248,Butter Chicken,ಬಟರ್ ಚಿಕನ್,बटर चिकन
249,Chicken Tikka Masala,ಚಿಕನ್ ಟಿಕ್ಕಾ ಮಸಾಲಾ,चिकन टिक्का मसाला
250,Chicken Kolhapuri,ಚಿಕನ್ ಕೊಲ್ಹಾಪುರಿ,चिकन कोल्हापुरी
251,Chicken Chettinad,ಚಿಕನ್ ಚೆಟ್ಟಿನಾಡ್,चिकन चेट्टिनाड
252,Chicken Vindaloo,ಚಿಕನ್ ವಿನ್ದಾಲೂ,चिकन विंदालू
253,Chicken Angara,ಚಿಕನ್ ಅಂಗಾರ,चिकन अंगारा
254,Mutton Curry,ಮಟನ್ ಕರೀ,मटन करी
255,Mutton Korma,ಮಟನ್ ಕೋರಮಾ,मटन कोरमा
256,Mutton Do Pyaza,ಮಟನ್ ಡೋ ಪ್ಯಾಜಾ,मटन दो प्याज़ा
257,Mutton Rogan Josh,ಮಟನ್ ರೋಗನ್ ಜೋಶ್,मटन रोगन जोश
258,Goan Fish Curry,ಗೋನ್ ಮೀನು ಕರೀ,गोवा फिश करी
259,Meen Moilee,ಮೀನು ಮೊಇಲೆ,मीन मोइली
260,Fish Fry,ಮೀನು ಫ್ರೈ,फिश फ्राई
261,Fish Tikka,ಮೀನು ಟಿಕ್ಕಾ,फिश टिक्का
262,Fish Masala,ಮೀನು ಮಸಾಲಾ,फिश मसाला
263,Prawn Curry,ಚಿಂಗರಿ ಕರೀ,प्रॉन करी
264,Prawn Masala,ಚಿಂಗರಿ ಮಸಾಲಾ,प्रॉन मसाला
265,Prawn Fry,ಚಿಂಗರಿ ಫ್ರೈ,प्रॉन फ्राई
266,Paneer Pakora,ಪನೀರ್ ಪಕೋಡಾ,पनीर पकोड़ा
267,Veg Pakora,ತರಕಾರಿ ಪಕೋಡಾ,वेज पकोड़ा
268,Samosa,ಸಮೋಸಾ,समोसा
269,Aloo Tikki,ಅಲೂ ಟಿಕ್ಕಿ,आलू टिक्की
270,Onion Pakora,ಈರುಳ್ಳಿ ಪಕೋಡಾ,प्याज पकोड़ा
271,Paneer Tikka,ಪನೀರ್ ಟಿಕ್ಕಾ,पनीर टिक्का
272,Paneer Tikka Masala,ಪನೀರ್ ಟಿಕ್ಕಾ ಮಸಾಲಾ,पनीर टिक्का मसाला
273,Paneer Lababdar,ಪನೀರ್ ಲಬ್ಬಾಬ್ದಾರ್,पनीर लबाबदार
274,Shahi Paneer,ಶಾಹಿ ಪನೀರ್,शाही पनीर
275,Kadai Paneer,ಕಡಾಯಿ ಪನೀರ್,कड़ाई पनीर
276,Paneer Do Pyaza,ಪನೀರ್ ಡೋ ಪ್ಯಾಜಾ,पनीर दो प्याज़ा
277,Malai Kofta,ಮಲಾಯಿ ಕೊಫ್ತಾ,मलाई कोफ्ता
278,Mushroom Masala,ಮಶ್ರೂಮ್ ಮಸಾಲಾ,मशरूम मसाला
279,Veg Kofta,ತರಕಾರಿ ಕೊಫ್ತಾ,वेज कोफ्ता
280,Veg Korma,ತರಕಾರಿ ಕೋರಮಾ,वेज कोरमा
281,Mixed Veg Curry,ಮಿಶ್ರ ತರಕಾರಿ ಕರೀ,मिक्स वेज करी
282,Dal Tadka,ದಾಲ್ ತಡ್ಕಾ,दाल तड़का
283,Dal Fry,ದಾಲ್ ಫ್ರೈ,दाल फ्राई
284,Dal Bukhara,ದಾಲ್ ಬುಖಾರಾ,दाल बुखारा
285,Chole,ಚೋಲೆ,छोले
286,Chana Masala,ಚಣಾ ಮಸಾಲಾ,चना मसाला
287,Rajma,ರಾಜ್ಮಾ,राजमा
288,Aloo Gobhi,ಅಲೂ ಗಾಬಿ,आलू गोभी
289,Bhindi Masala,ಭಿಂಡಿ ಮಸಾಲಾ,भिंडी मसाला
290,Cauliflower Masala,ಹೂಕು ಮಸಾಲಾ,फूलगोभी मसाला
291,Methi Malai Paneer,ಮೆಥಿ ಮಲಾಯಿ ಪನೀರ್,मेथी मलाई पनीर
292,Palak Mushroom,ಪಾಲಕ್ ಮಶ್ರೂಮ್,पालक मशरूम
293,Paneer Pudina Masala,ಪನೀರ್ ಪುಡಿನಾ ಮಸಾಲಾ,पनीर पुदीना मसाला
294,Paneer Kali Mirch,ಪನೀರ್ ಕಾಳಿ ಮಿರ್ಚ್,पनीर काली मिर्च
295,Paneer Achari,ಪನೀರ್ ಅಚಾರಿ,पनीर अचारी
296,Paneer Handi,ಪನೀರ್ ಹಂಡಿ,पनीर हांडी
297,Paneer Makhani,ಪನೀರ್ ಮಖನಿ,पनीर मखनी
298,Paneer Khurchan,ಪನೀರ್ ಖುರ್ಚನ್,पनीर खुर्चन
299,Butter Paneer,ಬಟರ್ ಪನೀರ್,बटर पनीर
300,Shahi Paneer,ಶಾಹಿ ಪನೀರ್,शाही पनीर
301,Kadai Paneer,ಕಡಾಯಿ ಪನೀರ್,कड़ाई पनीर
302,Paneer Do Pyaza,ಪನೀರ್ ಡೋ ಪ್ಯಾಜಾ,पनीर दो प्याज़ा
303,Malai Kofta,ಮಲಾಯಿ ಕೊಫ್ತಾ,मलाई कोफ्ता
304,Mushroom Masala,ಮಶ್ರೂಮ್ ಮಸಾಲಾ,मशरूम मसाला
305,Veg Kofta,ತರಕಾರಿ ಕೊಫ್ತಾ,वेज कोफ्ता
306,Veg Korma,ತರಕಾರಿ ಕೋರಮಾ,वेज कोरमा
